Ascophyllum nodosum, Egg wrack
Bifurcaria bifurcata, Brown forking weed
Cystoseira baccata, Bushy berry wrack
Cystoseira tamariscifolia, Bushy rainbow wrack
Fucus ceranoides, Horned wrack
Fucus distichus, Two-headed wrack
Fucus guiryi, Guiry’s wrack
Fucus serratus, Serrated wrack
Fucus spiralis, Spiraled wrack
Fucus vesiculosus, Bladder wrack
Halidrys siliquosa, Sea oak
Himanthalia elongata, Thong weed
Pelvetia canaliculata, Channel wrack
Sargassum muticum, Wire weed
